sofascore_player_id,player_name,position,matches_played,total_minutes,avg_rating,goals_p90,assists_p90,shots_p90,xg_p90,xa_p90,passes_p90,key_passes_p90,pass_accuracy,duels_won_p90,interceptions_p90,tackles_p90,total_injuries,total_days_absent,total_matches_missed,avg_days_per_injury,team_tm,position_tm,nationality,market_value_eur,market_value_sofascore,target_value_eur,log_target_value
3041,Raúl Albiol,D,14,1184.0,6.692857142857143,0.0,0.0,0.1428571428571428,0.0501,0.0092135925630252,60.60504201680673,0.0,0.8956997353933612,3.273109243697479,0.5357142857142857,0.7142857142857143,12,314,60.0,26.166666666666668,,,,,760000.0,760000.0,13.541075028051122
3577,Dante,D,22,1854.0,6.886363636363637,0.0,0.0,0.4096016343207354,0.0579786516853932,0.025522502675943,67.22680349116341,0.1818181818181818,0.8871158495460758,4.500492025907911,1.5227179230663148,1.6131162887455794,15,754,116.0,50.266666666666666,Nice,Defensa central,OGC Niza,500000.0,550000.0,500000.0,13.122365377402328
8959,Manuel Neuer,G,21,1890.0,6.9523809523809526,0.0,0.0,0.0,0.0,0.0022881819047619,38.42857142857143,0.0476190476190476,0.8426566576455853,0.3333333333333333,0.0,0.0476190476190476,15,581,87.0,38.73333333333333,,,,,4099999.0,4099999.0,15.226497531674536
10589,Ashley Young,D,18,1479.0,7.016666666666667,0.0555555555555555,0.1666666666666666,0.2907153729071537,0.0563506849315068,0.1369255492467778,35.43749184220093,1.1817501735999256,0.7111091545116319,4.987568225187518,1.3209646389626584,2.880655873806558,14,659,101.0,47.07142857142857,Everton,Lateral derecho,Ipswich Town,500000.0,440000.0,500000.0,13.122365377402328
14718,Lorenzo De Silvestri,D,14,1032.0,6.771428571428571,0.0714285714285714,0.0,0.7607772067947757,0.1504499647712056,0.0304986490823016,36.160254604332486,0.4355400696864112,0.7849726866550234,2.838415035614084,0.9732076335109168,0.7823542553753084,15,245,30.0,16.333333333333332,Bologna,Lateral derecho,Bolonia,800000.0,630000.0,800000.0,13.592368256649284
15219,Lukáš Hrádecký,G,28,2520.0,6.932142857142857,0.0,0.0,0.0,0.0,0.0010034689285714,27.642857142857142,0.0,0.7302696503979611,0.0714285714285714,0.0,0.0,0,0,0.0,0.0,,,,,1900000.0,1900000.0,14.45736497045232
15466,Luka Modrić,M,19,1530.0,7.815789473684211,0.0550795593635251,0.2637492607924305,0.9331751361546584,0.073682467432257,0.3034234262351547,87.09095362579565,3.449111232653058,0.917227300593376,3.170034272961043,1.4563187345778783,1.391358217693003,15,162,28.0,10.8,,,,,4400000.0,4400000.0,15.29711532616119
15479,Łukasz Fabiański,G,13,1071.0,7.06923076923077,0.0,0.0,0.0,0.0,0.00103384,33.19230769230769,0.0,0.6306036376055352,0.6923076923076923,0.0,0.0,15,741,132.0,49.4,West Ham,Portero,West Ham United,500000.0,260000.0,500000.0,13.122365377402328
16206,Yann Sommer,G,33,2970.0,7.093939393939394,0.0,0.0,0.0,0.0,0.0006542742424242,36.03030303030303,0.0,0.8771869686325044,0.1515151515151515,0.0,0.0,11,121,19.0,11.0,,,,,2300000.0,2300000.0,14.648420115681892
16632,Mats Hummels,D,12,894.0,7.108333333333333,0.0,0.0,0.9320175438596492,0.1195188596491228,0.0089869821446142,41.28733034654088,0.1759259259259259,0.8874149380108717,6.701137372190004,2.5416570416570416,3.3063706418969576,15,212,28.0,14.133333333333333,Roma,Defensa central,Retirado,2000000.0,,2000000.0,14.508658238524095
17737,Rui Patrício,G,3,270.0,7.366666666666667,0.0,0.0,0.0,0.0,0.00099613,29.666666666666668,0.0,0.8194037145650048,0.3333333333333333,0.0,0.0,6,81,14.0,13.5,Atalanta,Portero,Retirado,800000.0,,800000.0,13.592368256649284
19314,Fraser Forster,G,7,630.0,7.085714285714286,0.0,0.0,0.0,0.0,0.0002055485714285,23.857142857142858,0.0,0.8222766406509122,0.2857142857142857,0.0,0.0,6,577,70.0,96.16666666666669,Tottenham,Portero,AFC Bournemouth,1000000.0,660000.0,1000000.0,13.815511557963774
19352,Matteo Darmian,D,5,325.0,6.779999999999999,0.2,0.0,0.2,0.4744,0.0024643697142857,39.34285714285714,0.0,0.8254283462794101,1.457142857142857,0.2,0.4571428571428571,15,410,76.0,27.33333333333333,,,,,1400000.0,1400000.0,14.151983508870948
19352,Matteo Darmian,D,5,325.0,6.779999999999999,0.2,0.0,0.2,0.4744,0.0024643697142857,39.34285714285714,0.0,0.8254283462794101,1.457142857142857,0.2,0.4571428571428571,15,410,76.0,27.33333333333333,,,,,1400000.0,1400000.0,14.151983508870948
19352,Matteo Darmian,D,5,325.0,6.779999999999999,0.2,0.0,0.2,0.4744,0.0024643697142857,39.34285714285714,0.0,0.8254283462794101,1.457142857142857,0.2,0.4571428571428571,15,410,76.0,27.33333333333333,,,,,1400000.0,1400000.0,14.151983508870948
19352,Matteo Darmian,D,5,325.0,6.779999999999999,0.2,0.0,0.2,0.4744,0.0024643697142857,39.34285714285714,0.0,0.8254283462794101,1.457142857142857,0.2,0.4571428571428571,15,410,76.0,27.33333333333333,,,,,1400000.0,1400000.0,14.151983508870948
19352,Matteo Darmian,D,5,325.0,6.779999999999999,0.2,0.0,0.2,0.4744,0.0024643697142857,39.34285714285714,0.0,0.8254283462794101,1.457142857142857,0.2,0.4571428571428571,15,410,76.0,27.33333333333333,,,,,1400000.0,1400000.0,14.151983508870948
19352,Matteo Darmian,D,5,325.0,6.779999999999999,0.2,0.0,0.2,0.4744,0.0024643697142857,39.34285714285714,0.0,0.8254283462794101,1.457142857142857,0.2,0.4571428571428571,15,410,76.0,27.33333333333333,,,,,1400000.0,1400000.0,14.151983508870948
19352,Matteo Darmian,D,5,325.0,6.779999999999999,0.2,0.0,0.2,0.4744,0.0024643697142857,39.34285714285714,0.0,0.8254283462794101,1.457142857142857,0.2,0.4571428571428571,15,410,76.0,27.33333333333333,,,,,1400000.0,1400000.0,14.151983508870948
19352,Matteo Darmian,D,5,325.0,6.779999999999999,0.2,0.0,0.2,0.4744,0.0024643697142857,39.34285714285714,0.0,0.8254283462794101,1.457142857142857,0.2,0.4571428571428571,15,410,76.0,27.33333333333333,,,,,1400000.0,1400000.0,14.151983508870948
19352,Matteo Darmian,M,17,1370.0,6.923529411764706,0.1323529411764706,0.1176470588235294,0.6012110726643599,0.2536257352941176,0.0702123038021193,43.04893422387607,0.9327731092436976,0.8528293530830948,3.153159974066015,0.5969103390395851,1.5180933617466126,15,410,76.0,27.33333333333333,,,,,1400000.0,1400000.0,14.151983508870948
19352,Matteo Darmian,M,17,1370.0,6.923529411764706,0.1323529411764706,0.1176470588235294,0.6012110726643599,0.2536257352941176,0.0702123038021193,43.04893422387607,0.9327731092436976,0.8528293530830948,3.153159974066015,0.5969103390395851,1.5180933617466126,15,410,76.0,27.33333333333333,,,,,1400000.0,1400000.0,14.151983508870948
19352,Matteo Darmian,M,17,1370.0,6.923529411764706,0.1323529411764706,0.1176470588235294,0.6012110726643599,0.2536257352941176,0.0702123038021193,43.04893422387607,0.9327731092436976,0.8528293530830948,3.153159974066015,0.5969103390395851,1.5180933617466126,15,410,76.0,27.33333333333333,,,,,1400000.0,1400000.0,14.151983508870948
19352,Matteo Darmian,M,17,1370.0,6.923529411764706,0.1323529411764706,0.1176470588235294,0.6012110726643599,0.2536257352941176,0.0702123038021193,43.04893422387607,0.9327731092436976,0.8528293530830948,3.153159974066015,0.5969103390395851,1.5180933617466126,15,410,76.0,27.33333333333333,,,,,1400000.0,1400000.0,14.151983508870948
19352,Matteo Darmian,M,17,1370.0,6.923529411764706,0.1323529411764706,0.1176470588235294,0.6012110726643599,0.2536257352941176,0.0702123038021193,43.04893422387607,0.9327731092436976,0.8528293530830948,3.153159974066015,0.5969103390395851,1.5180933617466126,15,410,76.0,27.33333333333333,,,,,1400000.0,1400000.0,14.151983508870948
19352,Matteo Darmian,M,17,1370.0,6.923529411764706,0.1323529411764706,0.1176470588235294,0.6012110726643599,0.2536257352941176,0.0702123038021193,43.04893422387607,0.9327731092436976,0.8528293530830948,3.153159974066015,0.5969103390395851,1.5180933617466126,15,410,76.0,27.33333333333333,,,,,1400000.0,1400000.0,14.151983508870948
19352,Matteo Darmian,M,17,1370.0,6.923529411764706,0.1323529411764706,0.1176470588235294,0.6012110726643599,0.2536257352941176,0.0702123038021193,43.04893422387607,0.9327731092436976,0.8528293530830948,3.153159974066015,0.5969103390395851,1.5180933617466126,15,410,76.0,27.33333333333333,,,,,1400000.0,1400000.0,14.151983508870948
19352,Matteo Darmian,M,17,1370.0,6.923529411764706,0.1323529411764706,0.1176470588235294,0.6012110726643599,0.2536257352941176,0.0702123038021193,43.04893422387607,0.9327731092436976,0.8528293530830948,3.153159974066015,0.5969103390395851,1.5180933617466126,15,410,76.0,27.33333333333333,,,,,1400000.0,1400000.0,14.151983508870948
19356,Iago Aspas,F,19,1485.0,7.347368421052631,0.3695160498458177,0.2161005963183822,2.6222668448606483,0.3653599536501931,0.1907001422739223,41.50050819803337,1.558729191414402,0.7610907081824149,3.553541251263232,0.472835806945046,0.700403782081092,9,267,36.0,29.666666666666668,Celta Vigo,Delantero centro,RC Celta de Vigo,2000000.0,1700000.0,2000000.0,14.508658238524095
21555,César Azpilicueta,D,12,843.0,7.008333333333333,0.0925925925925926,0.0,0.5925925925925926,0.0829222222222222,0.0397038949518999,57.67183742183742,0.2685185185185185,0.8713268328992086,4.588023088023088,0.4166666666666667,2.59018759018759,14,466,73.0,33.285714285714285,,,,,1100000.0,1100000.0,13.910821646859096
21608,Nicolas Viola,F,14,873.0,6.935714285714285,0.2091836734693877,0.093167701863354,2.489028121794893,0.2405557897263862,0.1666271667423102,22.684987340403477,2.032752693143894,0.6533338243185085,5.703612928997295,0.3078736617597858,1.2244632285486043,0,0,0.0,0.0,,,,,515000.0,515000.0,13.15192412139156
21608,Nicolas Viola,F,14,873.0,6.935714285714285,0.2091836734693877,0.093167701863354,2.489028121794893,0.2405557897263862,0.1666271667423102,22.684987340403477,2.032752693143894,0.6533338243185085,5.703612928997295,0.3078736617597858,1.2244632285486043,0,0,0.0,0.0,,,,,515000.0,515000.0,13.15192412139156
21608,Nicolas Viola,F,14,873.0,6.935714285714285,0.2091836734693877,0.093167701863354,2.489028121794893,0.2405557897263862,0.1666271667423102,22.684987340403477,2.032752693143894,0.6533338243185085,5.703612928997295,0.3078736617597858,1.2244632285486043,0,0,0.0,0.0,,,,,515000.0,515000.0,13.15192412139156
21608,Nicolas Viola,F,14,873.0,6.935714285714285,0.2091836734693877,0.093167701863354,2.489028121794893,0.2405557897263862,0.1666271667423102,22.684987340403477,2.032752693143894,0.6533338243185085,5.703612928997295,0.3078736617597858,1.2244632285486043,0,0,0.0,0.0,,,,,515000.0,515000.0,13.15192412139156
21608,Nicolas Viola,F,14,873.0,6.935714285714285,0.2091836734693877,0.093167701863354,2.489028121794893,0.2405557897263862,0.1666271667423102,22.684987340403477,2.032752693143894,0.6533338243185085,5.703612928997295,0.3078736617597858,1.2244632285486043,0,0,0.0,0.0,,,,,515000.0,515000.0,13.15192412139156
21608,Nicolas Viola,F,14,873.0,6.935714285714285,0.2091836734693877,0.093167701863354,2.489028121794893,0.2405557897263862,0.1666271667423102,22.684987340403477,2.032752693143894,0.6533338243185085,5.703612928997295,0.3078736617597858,1.2244632285486043,0,0,0.0,0.0,,,,,515000.0,515000.0,13.15192412139156
21608,Nicolas Viola,F,14,873.0,6.935714285714285,0.2091836734693877,0.093167701863354,2.489028121794893,0.2405557897263862,0.1666271667423102,22.684987340403477,2.032752693143894,0.6533338243185085,5.703612928997295,0.3078736617597858,1.2244632285486043,0,0,0.0,0.0,,,,,515000.0,515000.0,13.15192412139156
21608,Nicolas Viola,F,14,873.0,6.935714285714285,0.2091836734693877,0.093167701863354,2.489028121794893,0.2405557897263862,0.1666271667423102,22.684987340403477,2.032752693143894,0.6533338243185085,5.703612928997295,0.3078736617597858,1.2244632285486043,0,0,0.0,0.0,,,,,515000.0,515000.0,13.15192412139156
21608,Nicolas Viola,M,6,296.0,6.75,0.2459016393442623,0.0,1.214538986135899,0.1541252801186663,0.1813153582800477,32.490774994976775,2.1552511415525117,0.6790071040071041,5.33614042967288,0.0,0.0,0,0,0.0,0.0,,,,,515000.0,515000.0,13.15192412139156
21608,Nicolas Viola,M,6,296.0,6.75,0.2459016393442623,0.0,1.214538986135899,0.1541252801186663,0.1813153582800477,32.490774994976775,2.1552511415525117,0.6790071040071041,5.33614042967288,0.0,0.0,0,0,0.0,0.0,,,,,515000.0,515000.0,13.15192412139156
21608,Nicolas Viola,M,6,296.0,6.75,0.2459016393442623,0.0,1.214538986135899,0.1541252801186663,0.1813153582800477,32.490774994976775,2.1552511415525117,0.6790071040071041,5.33614042967288,0.0,0.0,0,0,0.0,0.0,,,,,515000.0,515000.0,13.15192412139156
21608,Nicolas Viola,M,6,296.0,6.75,0.2459016393442623,0.0,1.214538986135899,0.1541252801186663,0.1813153582800477,32.490774994976775,2.1552511415525117,0.6790071040071041,5.33614042967288,0.0,0.0,0,0,0.0,0.0,,,,,515000.0,515000.0,13.15192412139156
21608,Nicolas Viola,M,6,296.0,6.75,0.2459016393442623,0.0,1.214538986135899,0.1541252801186663,0.1813153582800477,32.490774994976775,2.1552511415525117,0.6790071040071041,5.33614042967288,0.0,0.0,0,0,0.0,0.0,,,,,515000.0,515000.0,13.15192412139156
21608,Nicolas Viola,M,6,296.0,6.75,0.2459016393442623,0.0,1.214538986135899,0.1541252801186663,0.1813153582800477,32.490774994976775,2.1552511415525117,0.6790071040071041,5.33614042967288,0.0,0.0,0,0,0.0,0.0,,,,,515000.0,515000.0,13.15192412139156
21608,Nicolas Viola,M,6,296.0,6.75,0.2459016393442623,0.0,1.214538986135899,0.1541252801186663,0.1813153582800477,32.490774994976775,2.1552511415525117,0.6790071040071041,5.33614042967288,0.0,0.0,0,0,0.0,0.0,,,,,515000.0,515000.0,13.15192412139156
21608,Nicolas Viola,M,6,296.0,6.75,0.2459016393442623,0.0,1.214538986135899,0.1541252801186663,0.1813153582800477,32.490774994976775,2.1552511415525117,0.6790071040071041,5.33614042967288,0.0,0.0,0,0,0.0,0.0,,,,,515000.0,515000.0,13.15192412139156
21927,Marko Arnautović,F,6,400.0,7.316666666666666,1.047372724128172,0.2542372881355932,2.457391277003868,0.5621621641877089,0.1502388146221817,20.988826347179856,0.976997578692494,0.7996669388116757,3.213048855905999,0.0,0.0,15,288,43.0,19.2,,,,,2600000.0,2600000.0,14.77102238760702
21949,Óscar Trejo,M,6,369.0,6.6000000000000005,0.2419354838709677,0.0,0.9851241005740156,0.2759193952623494,0.0398276173424151,37.45290645969763,0.5012531328320802,0.8540119237487659,5.712358854124559,0.4523809523809523,0.9933166248955722,5,75,12.0,15.0,Rayo Vallecano,Mediocentro ofensivo,Rayo Vallecano,500000.0,390000.0,500000.0,13.122365377402328
22209,Ørjan Nyland,G,30,2674.0,6.78,0.0,0.0,0.0,0.0,0.0027061339375,30.040625,0.1333333333333333,0.6005213675104617,0.4,0.0,0.1,5,429,61.0,85.8,,,,,930000.0,930000.0,13.742940940397675
26025,Robin Olsen,G,3,180.0,6.633333333333333,0.0,0.0,0.0,0.0,0.0015504099999999,37.66666666666666,0.0,0.7674817674817674,0.6666666666666666,0.0,0.6666666666666666,3,87,14.0,29.0,Aston Villa,Portero,Malmoe FF,1000000.0,645000.0,1000000.0,13.815511557963774
27035,André Ayew,F,15,1120.0,6.866666666666666,0.2325962325962326,0.081081081081081,1.1737714609368692,0.5626792683969588,0.0066845359807069,13.521779270292622,0.483682563962107,0.800967880815751,5.335494362719373,0.1604166666666666,0.9083145368647524,0,0,0.0,0.0,,,,,280000.0,280000.0,12.54254845357358
30144,Jonny Evans,D,4,268.0,6.925,0.0,0.0,0.25,0.1048,0.0076102038938238,58.152305559608926,0.0,0.8752962723550959,6.330229461549687,1.2053571428571428,1.50561797752809,15,548,96.0,36.53333333333333,Manchester United,Defensa central,Retirado,1000000.0,,1000000.0,13.815511557963774
