name,tm_id,team,position,nationality,market_value_eur
James Ward-Prowse,181579,West Ham,Mediocentro,Burnley FC,8000000.0
Andrew Irving,430310,West Ham,Mediocentro,AC Sparta Praga,4000000.0
Lewis Orford,845809,West Ham,Mediocentro,West Ham United U21,400000.0
Lucas Paquetá,444523,West Ham,Mediocentro ofensivo,CR Flamengo,28000000.0
Crysencio Summerville,474701,West Ham,Extremo izquierdo,West Ham United,22000000.0
Mohammed Kudus,543499,West Ham,Extremo derecho,Tottenham Hotspur,45000000.0
Jarrod Bowen,314875,West Ham,Extremo derecho,West Ham United,40000000.0
Luís Guilherme,991800,West Ham,Extremo derecho,Sporting de Lisboa,15000000.0
Evan Ferguson,648046,West Ham,Delantero centro,AS Roma,25000000.0
Niclas Füllkrug,75489,West Ham,Delantero centro,AC Milan,10000000.0
Danny Ings,134294,West Ham,Delantero centro,Sheffield United,6000000.0
Michail Antonio,104124,West Ham,Delantero centro,Al-Sailiya SC,700000.0
Bart Verbruggen,565093,Brighton,Portero,Brighton & Hove Albion,30000000.0
Carl Rushworth,646353,Brighton,Portero,Coventry City,3000000.0
Jason Steele,73564,Brighton,Portero,Brighton & Hove Albion,1500000.0
Tom McGill,406556,Brighton,Portero,Brighton & Hove Albion,600000.0
Killian Cahill,745716,Brighton,Portero,Leyton Orient,150000.0
Jan Paul van Hecke,576314,Brighton,Defensa central,Brighton & Hove Albion,32000000.0
Igor Julio,380350,Brighton,Defensa central,Brighton & Hove Albion,20000000.0
Adam Webster,212847,Brighton,Defensa central,Brighton & Hove Albion,11000000.0
Eiran Cashin,581330,Brighton,Defensa central,Blackburn Rovers,8000000.0
Lewis Dunk,148153,Brighton,Defensa central,Brighton & Hove Albion,6000000.0
Ruairi McConville,701021,Brighton,Defensa central,Norwich City,1800000.0
Odeluga Offiah,567597,Brighton,Defensa central,Preston North End,600000.0
Ed Turns,580809,Brighton,Defensa central,Exeter City,350000.0
Freddie Simmonds,1120418,Brighton,Defensa central,Brighton & Hove Albion U21,
Pervis Estupiñán,349599,Brighton,Lateral izquierdo,AC Milan,30000000.0
Ferdi Kadıoğlu,369316,Brighton,Lateral izquierdo,Brighton & Hove Albion,25000000.0
Jacob Slater,854930,Brighton,Lateral izquierdo,Harrogate Town,200000.0
Imari Samuels,565846,Brighton,Lateral izquierdo,Dundee FC,100000.0
Mats Wieffer,415381,Brighton,Lateral derecho,Brighton & Hove Albion,25000000.0
Tariq Lamptey,504148,Brighton,Lateral derecho,Fiorentina,11000000.0
Joël Veltman,111195,Brighton,Lateral derecho,Brighton & Hove Albion,4000000.0
Charlie Tasker,921662,Brighton,Lateral derecho,Brighton & Hove Albion U21,200000.0
Carlos Baleba,973085,Brighton,Pivote,Brighton & Hove Albion,40000000.0
Jack Hinshelwood,867688,Brighton,Pivote,Brighton & Hove Albion,24000000.0
Billy Gilmour,423744,Brighton,Pivote,SSC Nápoles,20000000.0
Yasin Ayari,667287,Brighton,Mediocentro,Brighton & Hove Albion,22000000.0
Matt O'Riley,406634,Brighton,Mediocentro,Brighton & Hove Albion,22000000.0
Malick Yalcouyé,1178758,Brighton,Mediocentro,Swansea City,17000000.0
Diego Gómez,996897,Brighton,Mediocentro,Brighton & Hove Albion,14000000.0
Jakub Moder,384461,Brighton,Mediocentro,Feyenoord,12000000.0
Valentín Barco,849410,Brighton,Mediocentro,Racing Club de Estrasburgo,12000000.0
James Milner,3333,Brighton,Mediocentro,Brighton & Hove Albion,1000000.0
Jensen Weir,520651,Brighton,Mediocentro,Wigan Athletic,350000.0
Joe Knight,978668,Brighton,Mediocentro,FC Stevenage,
Brajan Gruda,700106,Brighton,Mediocentro ofensivo,RB Leipzig,25000000.0
Julio Enciso,660867,Brighton,Mediocentro ofensivo,Racing Club de Estrasburgo,22000000.0
Harry Howell,1067168,Brighton,Mediocentro ofensivo,Brighton & Hove Albion U21,
Kaoru Mitoma,504849,Brighton,Extremo izquierdo,Brighton & Hove Albion,40000000.0
Simon Adingra,658536,Brighton,Extremo izquierdo,AS Mónaco,28000000.0
Jeremy Sarmiento,568005,Brighton,Extremo izquierdo,Middlesbrough FC,7000000.0
Cameron Peupion,703626,Brighton,Extremo izquierdo,ADO Den Haag,225000.0
Yankuba Minteh,1012534,Brighton,Extremo derecho,Brighton & Hove Albion,30000000.0
Solly March,209212,Brighton,Extremo derecho,Brighton & Hove Albion,6000000.0
Amario Cozier-Duberry,878150,Brighton,Extremo derecho,Bolton Wanderers,2000000.0
João Pedro,626724,Brighton,Delantero centro,Chelsea FC,50000000.0
Georginio Rutter,538977,Brighton,Delantero centro,Brighton & Hove Albion,32000000.0
Evan Ferguson,648046,Brighton,Delantero centro,AS Roma,25000000.0
Danny Welbeck,67063,Brighton,Delantero centro,Brighton & Hove Albion,5000000.0
Mark O'Mahony,943549,Brighton,Delantero centro,FC Reading,500000.0
Jordan Pickford,130164,Everton,Portero,Everton FC,18000000.0
João Virgínia,329813,Everton,Portero,Sporting de Lisboa,800000.0
Asmir Begovic,33873,Everton,Portero,Leicester City,250000.0
Zan-Luk Leban,605757,Everton,Portero,NK Celje,150000.0
Jarrad Branthwaite,661053,Everton,Defensa central,Everton FC,50000000.0
James Tarkowski,173504,Everton,Defensa central,Everton FC,9000000.0
Michael Keane,118534,Everton,Defensa central,Everton FC,5000000.0
Mason Holgate,348623,Everton,Defensa central,Al-Sailiya SC,4000000.0
Reece Welch,655986,Everton,Defensa central,FC Everton U21,350000.0
Bradley Moonan,1031258,Everton,Defensa central,FC Everton U21,
Vitaliy Mykolenko,404842,Everton,Lateral izquierdo,Everton FC,28000000.0
Jake O'Brien,711544,Everton,Lateral derecho,Everton FC,18000000.0
Nathan Patterson,424015,Everton,Lateral derecho,Everton FC,15000000.0
Ashley Young,14086,Everton,Lateral derecho,Ipswich Town,500000.0
Séamus Coleman,68390,Everton,Lateral derecho,Everton FC,500000.0
Roman Dixon,856479,Everton,Lateral derecho,Stockport County,200000.0
Orel Mangala,289592,Everton,Pivote,Olympique de Lyon,18000000.0
James Garner,505219,Everton,Pivote,Everton FC,18000000.0
Idrissa Gueye,126665,Everton,Pivote,Everton FC,1500000.0
Luke Butterfield,652635,Everton,Pivote,Accrington Stanley,
Carlos Alcaraz,748319,Everton,Mediocentro,Everton FC,14000000.0
Tim Iroegbunam,696589,Everton,Mediocentro,Everton FC,9000000.0
Harrison Armstrong,1107733,Everton,Mediocentro,Everton FC,800000.0
Jenson Metcalfe,855890,Everton,Mediocentro,Bradford City,175000.0
Callum Bates,1018716,Everton,Mediocentro,FC Everton U21,
Abdoulaye Doucouré,127187,Everton,Mediocentro ofensivo,NEOM SC,7000000.0
Owen Barker,796302,Everton,Mediocentro ofensivo,Bury FC,
Dwight McNeil,584769,Everton,Extremo izquierdo,Everton FC,25000000.0
Jack Harrison,417346,Everton,Extremo izquierdo,Fiorentina,14000000.0
Isaac Heath,847579,Everton,Extremo izquierdo,Accrington Stanley,
Coby Ebere,1018714,Everton,Extremo izquierdo,FC Everton U21,
Iliman Ndiaye,623570,Everton,Extremo derecho,Everton FC,22000000.0
Jesper Lindstrøm,513245,Everton,Extremo derecho,VfL Wolfsburgo,18000000.0
Beto,595809,Everton,Delantero centro,Everton FC,22000000.0
Dominic Calvert-Lewin,306024,Everton,Delantero centro,Leeds United,16000000.0
Armando Broja,571743,Everton,Delantero centro,Burnley FC,12000000.0
Neal Maupay,217115,Everton,Delantero centro,Sevilla FC,8000000.0
Youssef Chermiti,670688,Everton,Delantero centro,Rangers FC,8000000.0
Martin Sherif,922695,Everton,Delantero centro,Port Vale FC,
Bernd Leno,72476,Fulham,Portero,Fulham FC,10000000.0
Steven Benda,381469,Fulham,Portero,Feyenoord,1000000.0
Joachim Andersen,260827,Fulham,Defensa central,Fulham FC,27000000.0
Calvin Bassey,461883,Fulham,Defensa central,Fulham FC,25000000.0
Issa Diop,272622,Fulham,Defensa central,Fulham FC,14000000.0
Jorge Cuenca,494880,Fulham,Defensa central,Fulham FC,5000000.0
Sam Amissah,1026524,Fulham,Defensa central,FC Fulham U21,
Antonee Robinson,349701,Fulham,Lateral izquierdo,Fulham FC,35000000.0
Ryan Sessegnon,392775,Fulham,Lateral izquierdo,Fulham FC,15000000.0
Kenny Tete,206746,Fulham,Lateral derecho,Fulham FC,13000000.0
Timothy Castagne,262226,Fulham,Lateral derecho,Fulham FC,13000000.0
Sander Berge,333014,Fulham,Pivote,Fulham FC,25000000.0
Andreas Pereira,203394,Fulham,Mediocentro,SE Palmeiras,18000000.0
Saša Lukić,245056,Fulham,Mediocentro,Fulham FC,14000000.0
Harrison Reed,226973,Fulham,Mediocentro,Fulham FC,6000000.0
Tom Cairney,123275,Fulham,Mediocentro,Fulham FC,1500000.0
Emile Smith Rowe,392765,Fulham,Mediocentro ofensivo,Fulham FC,30000000.0
Josh King,1011131,Fulham,Mediocentro ofensivo,Fulham FC,1000000.0
Alex Iwobi,242631,Fulham,Extremo izquierdo,Fulham FC,28000000.0
Reiss Nelson,340325,Fulham,Extremo izquierdo,Brentford FC,16000000.0
Willian,52769,Fulham,Extremo izquierdo,Grêmio Foot-Ball Porto Alegrense,750000.0
Martial Godo,992686,Fulham,Extremo izquierdo,Racing Club de Estrasburgo,600000.0
Harry Wilson,279455,Fulham,Extremo derecho,Fulham FC,15000000.0
Adama Traoré,204103,Fulham,Extremo derecho,West Ham United,9000000.0
Rodrigo Muniz,735571,Fulham,Delantero centro,Fulham FC,20000000.0
Jay Stansfield,696346,Fulham,Delantero centro,Birmingham City,11000000.0
Raúl Jiménez,206040,Fulham,Delantero centro,Fulham FC,5000000.0
Carlos Vinícius,525287,Fulham,Delantero centro,Grêmio Foot-Ball Porto Alegrense,3500000.0
José Sá,249994,Wolves,Portero,Wolverhampton Wanderers,7000000.0
Sam Johnstone,110864,Wolves,Portero,Wolverhampton Wanderers,6000000.0
Daniel Bentley,136401,Wolves,Portero,Wolverhampton Wanderers,1500000.0
Tom King,215810,Wolves,Portero,Everton FC,200000.0
Toti,606718,Wolves,Defensa central,Wolverhampton Wanderers,28000000.0
Emmanuel Agbadou,683895,Wolves,Defensa central,Besiktas JK,20000000.0
Santiago Bueno,438001,Wolves,Defensa central,Wolverhampton Wanderers,10000000.0
Nasser Djiga,862297,Wolves,Defensa central,Rangers FC,10000000.0
Yerson Mosquera,716276,Wolves,Defensa central,Wolverhampton Wanderers,8000000.0
Bastien Meupiyou,955253,Wolves,Defensa central,FC Alverca,2500000.0
Craig Dawson,121477,Wolves,Defensa central,Sin equipo,1500000.0
Alfie Pond,821522,Wolves,Defensa central,Crewe Alexandra,250000.0
Rayan Aït-Nouri,578391,Wolves,Lateral izquierdo,Manchester City,35000000.0
Nélson Semedo,231572,Wolves,Lateral derecho,Fenerbahce,9000000.0
Pedro Lima,1193867,Wolves,Lateral derecho,Wolverhampton Wanderers,5000000.0
Matt Doherty,171679,Wolves,Lateral derecho,Wolverhampton Wanderers,2000000.0
Wesley Okoduwa,1115502,Wolves,Lateral derecho,Wolverhampton Wanderers U21,
André,800176,Wolves,Pivote,Wolverhampton Wanderers,28000000.0
Mario Lemina,170934,Wolves,Pivote,Galatasaray,7500000.0
Boubacar Traoré,649020,Wolves,Pivote,FC Metz,5000000.0
Joe Hodge,503975,Wolves,Pivote,CD Tondela,1000000.0
Luke Rawlings,1083691,Wolves,Pivote,Wolverhampton Wanderers U21,
João Gomes,735570,Wolves,Mediocentro,Wolverhampton Wanderers,40000000.0
Jean-Ricner Bellegarde,450050,Wolves,Mediocentro,Wolverhampton Wanderers,18000000.0
Marshall Munetsi,414908,Wolves,Mediocentro,Paris FC,15000000.0
Tommy Doyle,433183,Wolves,Mediocentro,Birmingham City,10000000.0
Luke Cundle,532541,Wolves,Mediocentro,Millwall FC ,3200000.0
Rodrigo Gomes,667121,Wolves,Interior izquierdo,Wolverhampton Wanderers,15000000.0
Pablo Sarabia,74230,Wolves,Mediocentro ofensivo,Al-Arabi SC,5000000.0
Tawanda Chirewa,724783,Wolves,Mediocentro ofensivo,Barnsley FC,500000.0
Mateus Mané,1230661,Wolves,Mediocentro ofensivo,Wolverhampton Wanderers,200000.0
Gonçalo Guedes,225122,Wolves,Extremo izquierdo,Real Sociedad,11000000.0
Daniel Podence,256977,Wolves,Extremo izquierdo,Olympiacos El Pireo,5500000.0
Enso González,1060740,Wolves,Extremo izquierdo,Wolverhampton Wanderers,4000000.0
Chiquinho,695454,Wolves,Extremo izquierdo,FC Alverca,2000000.0
Chem Campbell,614603,Wolves,Extremo izquierdo,FC Stevenage,900000.0
Carlos Forbs,742451,Wolves,Extremo derecho,Club Brujas KV,8000000.0
Tom Edozie,1065227,Wolves,Extremo derecho,Wolverhampton Wanderers U21,
Matheus Cunha,517894,Wolves,Delantero centro,Manchester United,60000000.0
Jørgen Strand Larsen,429983,Wolves,Delantero centro,Crystal Palace,30000000.0
Hee-chan Hwang,292246,Wolves,Delantero centro,Wolverhampton Wanderers,12000000.0
Sasa Kalajdzic,369567,Wolves,Delantero centro,LASK,4000000.0
Leon Chiwome,1043634,Wolves,Delantero centro,Wolverhampton Wanderers U21,700000.0
Nathan Fraser,863741,Wolves,Delantero centro,Wolverhampton Wanderers,600000.0
Noah Falk,365096,Brentford,Portero,FC La Sarraz-Eclépens,
Mateo Schütz,1056883,Brentford,Portero,FC Echallens Région II,
Guillaume Montangero,1387978,Brentford,Portero,FC Echallens Région II,
Adel Bouri,1140543,Brentford,Portero,FC Concordia Lausanne,
Fabien Champion,1238003,Brentford,Defensa,FC Echallens Région,
Ahmet Özcan,240356,Brentford,Defensa central,FC Echallens Région,
Diego Mutombo,208145,Brentford,Defensa central,FC Echallens Région,
Tristan Chavanne,443421,Brentford,Defensa central,FC Echallens Région,
Diogo Dos Santos,365109,Brentford,Lateral izquierdo,FC Echallens Région,
Valentin Carro,927481,Brentford,Lateral izquierdo,Lancy FC,
Stephane Gomes,334647,Brentford,Lateral derecho,FC Echallens Région,
Jordane Agodey,1188386,Brentford,Lateral derecho,FC Echallens Région,
Lucas Longchamp,1262832,Brentford,Centrocampista,FC Echallens Région Juvenil,
André Filipe Ribeiro Moreira,1267376,Brentford,Centrocampista,FC Echallens Région II,
David Kilinc,149464,Brentford,Mediocentro,ES Malley,
Lucas Valle,792062,Brentford,Mediocentro,FC Echallens Région,
Arnaud Morard,538636,Brentford,Mediocentro,FC Echallens Région,
Nathan Jaton,431507,Brentford,Mediocentro,FC Echallens Région,
Yanis Arezki,1060690,Brentford,Mediocentro,FC Stade-Payerne,
Killian Pellet,1308632,Brentford,Mediocentro,FC Concordia Lausanne,
Eric Jorge,679218,Brentford,Mediocentro,FC Echallens Région,
Aziz Demiri,149134,Brentford,Mediocentro ofensivo,ES Malley,
Jonathan Lima,370390,Brentford,Extremo izquierdo,FC Echallens Région,
Gonçalo Ferreira,312064,Brentford,Extremo izquierdo,FC La Sarraz-Eclépens,
Danilo Ianigro,389103,Brentford,Extremo derecho,FC Echallens Région,
Hugo Lopez,1042978,Brentford,Extremo derecho,FC Echallens Région,
Boris Fawoubo,940821,Brentford,Extremo derecho,FC Amical Saint-Prex,
Quentin Rushenguziminega,147117,Brentford,Delantero centro,FC Concordia Lausanne,
Mileno Ribeiro,426889,Brentford,Delantero centro,FC Lutry,
Tyron Ali Bin,1145760,Brentford,Delantero,Team AFF/FFV Fribourg U17,
Matej Kovar,550829,Bayer Leverkusen,Portero,PSV Eindhoven,5000000.0
Lukas Hradecky,48015,Bayer Leverkusen,Portero,AS Mónaco,2000000.0
Niklas Lomb,85543,Bayer Leverkusen,Portero,Bayer 04 Leverkusen,250000.0
Simeon Rapsch,1260765,Bayer Leverkusen,Portero,Bayer 04 Leverkusen U19,
Luca Novodomsky,810826,Bayer Leverkusen,Portero,TSV Solingen,
Piero Hincapié,659813,Bayer Leverkusen,Defensa central,Arsenal FC,50000000.0
Edmond Tapsoba,564545,Bayer Leverkusen,Defensa central,Bayer 04 Leverkusen,35000000.0
Jonathan Tah,196357,Bayer Leverkusen,Defensa central,Bayern Múnich,30000000.0
Odilon Kossounou,644771,Bayer Leverkusen,Defensa central,Atalanta de Bérgamo,25000000.0
Jeanuël Belocian,919515,Bayer Leverkusen,Defensa central,VfL Wolfsburgo,15000000.0
Mario Hermoso,281769,Bayer Leverkusen,Defensa central,AS Roma,7000000.0
Andrea Natali,1058353,Bayer Leverkusen,Defensa central,AZ Alkmaar U21,
Ben Hawighorst,1131921,Bayer Leverkusen,Defensa central,Bayer 04 Leverkusen U19,
Alejandro Grimaldo,193082,Bayer Leverkusen,Lateral izquierdo,Bayer 04 Leverkusen,30000000.0
Jeremie Frimpong,484547,Bayer Leverkusen,Lateral derecho,Liverpool FC,50000000.0
Nordi Mukiele,348026,Bayer Leverkusen,Lateral derecho,Sunderland AFC,10000000.0
Arthur,977464,Bayer Leverkusen,Lateral derecho,Bayer 04 Leverkusen,7000000.0
Othniël Raterink,997478,Bayer Leverkusen,Lateral derecho,Cagliari,
Granit Xhaka,111455,Bayer Leverkusen,Pivote,Sunderland AFC,12000000.0
Robert Andrich,159088,Bayer Leverkusen,Pivote,Bayer 04 Leverkusen,9000000.0
Exequiel Palacios,401578,Bayer Leverkusen,Mediocentro,Bayer 04 Leverkusen,40000000.0
Aleix García,261504,Bayer Leverkusen,Mediocentro,Bayer 04 Leverkusen,20000000.0
Florian Wirtz,598577,Bayer Leverkusen,Mediocentro ofensivo,Liverpool FC,140000000.0
Emiliano Buendía,321247,Bayer Leverkusen,Mediocentro ofensivo,Aston Villa,15000000.0
Jonas Hofmann,7161,Bayer Leverkusen,Mediocentro ofensivo,Bayer 04 Leverkusen,2000000.0
Francis Onyeka,929943,Bayer Leverkusen,Mediocentro ofensivo,VfL Bochum,500000.0
Amine Adli,532776,Bayer Leverkusen,Extremo izquierdo,AFC Bournemouth,18000000.0
Martin Terrier,442891,Bayer Leverkusen,Extremo izquierdo,Bayer 04 Leverkusen,17000000.0
Kerim Alajbegovic,929994,Bayer Leverkusen,Extremo izquierdo,Red Bull Salzburgo,
Nathan Tella,340322,Bayer Leverkusen,Extremo derecho,Bayer 04 Leverkusen,15000000.0
Victor Boniface,656681,Bayer Leverkusen,Delantero centro,SV Werder Bremen,40000000.0
Patrik Schick,242086,Bayer Leverkusen,Delantero centro,Bayer 04 Leverkusen,27000000.0
Artem Stepanov,1045344,Bayer Leverkusen,Delantero centro,FC Utrecht,800000.0
Alejo Sarco,1000675,Bayer Leverkusen,Delantero centro,Borussia Mönchengladbach,800000.0
Maarten Vandevoordt,486046,RB Leipzig,Portero,RB Leipzig,8000000.0
Péter Gulácsi,57071,RB Leipzig,Portero,RB Leipzig,2000000.0
Leopold Zingerle,160971,RB Leipzig,Portero,RB Leipzig,400000.0
Fernando Dickes,1048715,RB Leipzig,Portero,Hamburgo SV,
Castello Lukeba,618472,RB Leipzig,Defensa central,RB Leipzig,40000000.0
Mohamed Simakan,666234,RB Leipzig,Defensa central,Al-Nassr FC,23000000.0
El Chadaille Bitshiabu,787912,RB Leipzig,Defensa central,RB Leipzig,18000000.0
Willi Orbán,93740,RB Leipzig,Defensa central,RB Leipzig,8000000.0
Lukas Klostermann,215599,RB Leipzig,Defensa central,RB Leipzig,8000000.0
Jonathan Norbye,1006916,RB Leipzig,Defensa central,Fredrikstad FK,
David Raum,318204,RB Leipzig,Lateral izquierdo,RB Leipzig,20000000.0
Lionel Voufack,1125077,RB Leipzig,Lateral izquierdo,RB Leipzig U19,
Lutsharel Geertruida,420210,RB Leipzig,Lateral derecho,Sunderland AFC,20000000.0
Benjamin Henrichs,202591,RB Leipzig,Lateral derecho,RB Leipzig,15000000.0
Kosta Nedeljkovic,848682,RB Leipzig,Lateral derecho,RB Leipzig,10000000.0
Ridle Baku,327251,RB Leipzig,Lateral derecho,RB Leipzig,9000000.0
Leon Koß,974597,RB Leipzig,Lateral derecho,SC Freiburg II,
Arthur Vermeeren,926694,RB Leipzig,Pivote,Olympique de Marsella,22000000.0
Nicolas Seiwald,404950,RB Leipzig,Pivote,RB Leipzig,18000000.0
Amadou Haidara,402008,RB Leipzig,Mediocentro,RC Lens,16000000.0
Xaver Schlager,223979,RB Leipzig,Mediocentro,RB Leipzig,10000000.0
Assan Ouédraogo,897424,RB Leipzig,Mediocentro,RB Leipzig,7000000.0
Kevin Kampl,53418,RB Leipzig,Mediocentro,Retirado,2500000.0
Mika Walther,1153314,RB Leipzig,Mediocentro,RB Leipzig U19,
Xavi Simons,566931,RB Leipzig,Mediocentro ofensivo,Tottenham Hotspur,70000000.0
Eljif Elmas,400489,RB Leipzig,Mediocentro ofensivo,SSC Nápoles,14000000.0
Christoph Baumgartner,324278,RB Leipzig,Mediocentro ofensivo,RB Leipzig,12000000.0
Viggo Gebel,1074526,RB Leipzig,Mediocentro ofensivo,RB Leipzig U19,350000.0
Nuha Jatta,974561,RB Leipzig,Mediocentro ofensivo,VfB Stuttgart II,250000.0
Antonio Nusa,894914,RB Leipzig,Extremo izquierdo,RB Leipzig,28000000.0
Tidiam Gomis,955448,RB Leipzig,Extremo izquierdo,RB Leipzig,3000000.0
Faik Sakar,1132292,RB Leipzig,Extremo izquierdo,RB Leipzig U19,200000.0
Benjamin Sesko,627442,RB Leipzig,Delantero centro,Manchester United,70000000.0
Loïs Openda,368887,RB Leipzig,Delantero centro,Juventus de Turín,50000000.0
Yussuf Poulsen,157635,RB Leipzig,Delantero centro,Hamburgo SV,5000000.0
André Silva,198008,RB Leipzig,Delantero centro,Elche CF,4000000.0
Robert Ramsak,941177,RB Leipzig,Delantero centro,SV Sandhausen,
Kevin Trapp,45672,Eintracht Frankfurt,Portero,Paris FC,2500000.0
Kauã Santos,997861,Eintracht Frankfurt,Portero,Eintracht Fráncfort​​,2500000.0
Nils Ramming,1145455,Eintracht Frankfurt,Portero,Brighton & Hove Albion U21,300000.0
Jens Grahl,40034,Eintracht Frankfurt,Portero,Eintracht Fráncfort​​,200000.0
Yurij Obert,917042,Eintracht Frankfurt,Portero,Eintracht Frankfurt II,50000.0
Amil Siljevic,1079622,Eintracht Frankfurt,Portero,Eintracht Fráncfort​​,
Arthur Theate,368891,Eintracht Frankfurt,Defensa central,Eintracht Fráncfort​​,24000000.0
Robin Koch,328784,Eintracht Frankfurt,Defensa central,Eintracht Fráncfort​​,18000000.0
Tuta,546213,Eintracht Frankfurt,Defensa central,Al-Duhail SC,15000000.0
Nnamdi Collins,684315,Eintracht Frankfurt,Defensa central,Eintracht Fráncfort​​,10000000.0
Aurèle Amenda,635645,Eintracht Frankfurt,Defensa central,Eintracht Fráncfort​​,7500000.0
Nathaniel Brown,691892,Eintracht Frankfurt,Lateral izquierdo,Eintracht Fráncfort​​,22000000.0
Niels Nkounkou,591193,Eintracht Frankfurt,Lateral izquierdo,Torino FC,3500000.0
Rasmus Kristensen,369684,Eintracht Frankfurt,Lateral derecho,Eintracht Fráncfort​​,14000000.0
Timothy Chandler,49723,Eintracht Frankfurt,Lateral derecho,Eintracht Fráncfort​​,350000.0
Ellyes Skhiri,290587,Eintracht Frankfurt,Pivote,Eintracht Fráncfort​​,7500000.0
Eba Bekir Is,1154106,Eintracht Frankfurt,Pivote,Eintracht Frankfurt II,500000.0
Noah Fenyő,951957,Eintracht Frankfurt,Pivote,Újpest FC,350000.0
Hugo Larsson,931838,Eintracht Frankfurt,Mediocentro,Eintracht Fráncfort​​,40000000.0
Oscar Højlund,846310,Eintracht Frankfurt,Mediocentro,Eintracht Fráncfort​​,7500000.0
Mahmoud Dahoud,191422,Eintracht Frankfurt,Mediocentro,Eintracht Fráncfort​​,3500000.0
Junior Dina Ebimbe,536482,Eintracht Frankfurt,Interior derecho,Stade Brestois 29,6000000.0
Can Uzun,816585,Eintracht Frankfurt,Mediocentro ofensivo,Eintracht Fráncfort​​,18000000.0
Farès Chaïbi,855015,Eintracht Frankfurt,Mediocentro ofensivo,Eintracht Fráncfort​​,9000000.0
Mario Götze,74842,Eintracht Frankfurt,Mediocentro ofensivo,Eintracht Fráncfort​​,4000000.0
Krisztián Lisztes,933217,Eintracht Frankfurt,Mediocentro ofensivo,Ferencváros TC,2000000.0
Jean-Mattéo Bahoya,939964,Eintracht Frankfurt,Extremo izquierdo,Eintracht Fráncfort​​,17000000.0
Ansgar Knauff,429874,Eintracht Frankfurt,Extremo derecho,Eintracht Fráncfort​​,15000000.0
Omar Marmoush,445939,Eintracht Frankfurt,Delantero centro,Manchester City,75000000.0
Hugo Ekitiké,709726,Eintracht Frankfurt,Delantero centro,Liverpool FC,75000000.0
Elye Wahi,659542,Eintracht Frankfurt,Delantero centro,OGC Niza,22000000.0
Igor Matanovic,605268,Eintracht Frankfurt,Delantero centro,SC Friburgo,5000000.0
Michy Batshuayi,179184,Eintracht Frankfurt,Delantero centro,Eintracht Fráncfort​​,4000000.0
Alexander Nübel,195778,Stuttgart,Portero,VfB Stuttgart,12000000.0
Dennis Seimen,800946,Stuttgart,Portero,SC Paderborn 07,2500000.0
Fabian Bredlow,187624,Stuttgart,Portero,VfB Stuttgart,800000.0
Stefan Drljaca,388067,Stuttgart,Portero,VfB Stuttgart,325000.0
Finn Jeltsch,924117,Stuttgart,Defensa central,VfB Stuttgart,20000000.0
Jeff Chabot,303219,Stuttgart,Defensa central,VfB Stuttgart,12000000.0
Anthony Rouault,690799,Stuttgart,Defensa central,Stade Rennais FC,10000000.0
Ameen Al-Dakhil,620598,Stuttgart,Defensa central,VfB Stuttgart,7500000.0
Luca Jaquez,539798,Stuttgart,Defensa central,VfB Stuttgart,6000000.0
Ramon Hendriks,436064,Stuttgart,Defensa central,VfB Stuttgart,5000000.0
Anrie Chase,948537,Stuttgart,Defensa central,Red Bull Salzburgo,3000000.0
Dan-Axel Zagadou,344598,Stuttgart,Defensa central,VfB Stuttgart,2000000.0
Maximilian Mittelstädt,282660,Stuttgart,Lateral izquierdo,VfB Stuttgart,20000000.0
Frans Krätzig,604320,Stuttgart,Lateral izquierdo,Red Bull Salzburgo,3500000.0
Josha Vagnoman,448258,Stuttgart,Lateral derecho,VfB Stuttgart,10000000.0
Leonidas Stergiou,507345,Stuttgart,Lateral derecho,1.FC Heidenheim 1846,5000000.0
Pascal Stenzel,195246,Stuttgart,Lateral derecho,VfB Stuttgart,2000000.0
Christopher Olivier,842217,Stuttgart,Lateral derecho,VfB Stuttgart II,500000.0
Angelo Stiller,443710,Stuttgart,Pivote,VfB Stuttgart,45000000.0
Atakan Karazor,232320,Stuttgart,Pivote,VfB Stuttgart,12000000.0
Yannik Keitel,342039,Stuttgart,Pivote,FC Augsburgo,3500000.0
Nikolas Nartey,400546,Stuttgart,Mediocentro,VfB Stuttgart,400000.0
Enzo Millot,569366,Stuttgart,Mediocentro ofensivo,Al-Ahli SFC,35000000.0
Fabian Rieder,507341,Stuttgart,Mediocentro ofensivo,FC Augsburgo,6000000.0
El Bilal Touré,649016,Stuttgart,Extremo izquierdo,Besiktas JK,15000000.0
Chris Führich,272278,Stuttgart,Extremo izquierdo,VfB Stuttgart,15000000.0
Jacob Bruun Larsen,293281,Stuttgart,Extremo izquierdo,Burnley FC,5000000.0
Justin Diehl,720162,Stuttgart,Extremo izquierdo,VfB Stuttgart,3000000.0
Jarzinho Malanga,1031774,Stuttgart,Extremo izquierdo,SV 07 Elversberg,1700000.0
Benjamin Boakye,800988,Stuttgart,Extremo izquierdo,Arminia Bielefeld,500000.0
Jamie Leweling,518505,Stuttgart,Extremo derecho,VfB Stuttgart,20000000.0
Silas,612826,Stuttgart,Extremo derecho,1.FSV Mainz 05,7000000.0
Luca Raimund,907489,Stuttgart,Extremo derecho,Fortuna Düsseldorf,400000.0
Nick Woltemade,455661,Stuttgart,Delantero centro,Newcastle United,30000000.0
